Questions,Answers
What were some of the consequences of the intellectual separation between the creative minority and the majority in relation to the ideology of the Upanishads in ancient India?,"Thus the ideology of the Upanishads did not permeate to any marked extent to the masses and the intellectual separation between the creative minority and the majority became more marked. In the course of time, this led to new movements—a powerful wave of materialistic philosophy, agnosticism, atheism. Out of this again grew Buddhism and Jainism, and the famous Sanskrit epics, the Ramayana and the Mahabharata, wherein yet another attempt was made to bring about a synthesis between rival creeds and ways of thought. The creative energy of the people, or of the creative minority, is very evident during these periods, and again there appears to be a bond between that minority and the majority. On the whole, they pull together."
What historical periods influenced India's artistic and cultural developments leading up to 1000 AD?,"Colonial enterprises far from India's borders. In between, there are periods of disharmony and conflict, due both to inner causes and intrusions from outside. Yet they are ultimately overcome and a fresh period of creative energy supervenes. The last great period of such activity in a variety of directions was the classical epoch which began in the fourth century after Christ. By about 1000 AD, or earlier, signs of inner decay in India are very evident. Although the old artistic impulse continued to function and produce fine work. The coming of new races with a different background brought a new driving force to India's tired mind and spirit, and out of that impact arose new problems and new attempts at a solution."
What were some notable achievements of the Indo-Aryan culture influenced by intense individualism?,"It seems that the intense individualism of the Indo-Aryans led, in the long run, to both the good and the evil that their culture produced. It led to the production of very superior types, not in one particular limited period of history, but again and again, age after age. It gave a certain idealist and ethical background to the whole culture, which persisted and still persists, though it may not influence practice much. With the help of this background and by sheer force of example at the top, they held together the social fabric and repeatedly rehabilitated it when it threatened to go to pieces. They produced an astonishing flowering of civilization and culture which, though largely confined to the upper circles, inevitably spread to some extent to the masses. By their extreme tolerance of other beliefs and other ways than their own, they avoided the conflicts that have so often torn society asunder, and managed to maintain, as a rule, some kind of equilibrium. By allowing, within the larger framework, considerable freedom to people to live the life of their choice, they showed the wisdom of an old and experienced race. All these were very remarkable achievements."
What were some negative consequences of the extreme tolerance of beliefs and practices in the society described?,"Rigidity of mind and the creative energy of the race faded away. Another curious fact seems to stand out. The extreme tolerance of every kind of belief and practice, every superstition and folly, had its injurious side also, for this perpetuated many an evil custom and prevented people from getting rid of the traditional burdens that prevented growth. The growing priesthood exploited this situation to their own advantage and built up their powerful vested interests on the foundation of the superstitions of the masses. That priesthood was probably never quite so powerful as in some branches of the Christian church, for there were always spiritual leaders who condemned its practices, and there was a variety of beliefs to choose from, but it was strong enough to hold and exploit the masses."
What were some of the contributing factors to the development of scholasticism and puritanical ritualism in this community?,"This mixture of free thought and orthodoxy lived side by side, and out of them scholasticism grew, and a puritanical ritualism. The appeal was always made to the ancient authorities, but little attempt was made to interpret their truths in terms of changing conditions. The creative and spiritual forces weakened, and only the shell of what used to be so full of life and meaning remained."
What is the significance of the preservation and discovery of ancient Indian literature in modern times?,"Aurobindo Ghose has written: 'If an ancient Indian of the time of the Upanishads, of the Buddha, or the later classical age were to be set down in modern India, he would see his race clinging to forms and shells and rags of the past and missing nine-tenths of its nobler meaning. He would be amazed by the extent of the mental poverty, the immobility, the static repetition, the cessation of science, the long sterility of art, the comparative feebleness of the creative intuition.' Materialism, one of our major misfortunes, is that we have lost so much of the world's ancient literature—in Greece, in India, and elsewhere. Probably this was inevitable as these books were originally written on palm-leaves or on bhurjapatra, the thin layers of the bark of the birch tree which peel off so easily, and later on paper. There were only a few copies of a work in existence and if they were lost or destroyed, that work disappeared, and it can only be traced by references to it, or quotations from it, in other books. Even so, about fifty or sixty thousand manuscripts in Sanskrit or its variations have already been traced and listed and fresh discoveries are being constantly made. Many old Indian books have so far not been found in India at all but their translations in Chinese or Tibetan have been discovered."
What important tasks need to be accomplished in India once we are able to overcome our obstacles and operate independently?,"Yield rich results. That, and the critical examination of these manuscripts and, where considered desirable, their publication and translation, are among the many things we have to do in India when we succeed in breaking through our shackles and can function for ourselves. Such study is bound to throw light on many phases of Indian history and especially on the social background behind historic events and changing ideas. The fact that in spite of repeated losses and destruction, and without any organized attempt to discover them, over fifty thousand manuscripts have been brought out, shows how extraordinarily abundant must have been the literary, dramatic, philosophical, and other productions of old times. Many of the manuscripts discovered still await thorough examination."
What influence did materialist philosophy have in India and how is it documented in ancient literature?,"Among the books that have been lost is the entire literature on materialism which followed the period of the early upanishads. The only references to this, now found, are in criticisms of it and in elaborate attempts to disprove the materialist theories. There can be no doubt, however, that the materialist philosophy was professed in India for centuries and had, at the time, a powerful influence on the people. In the famous Arthashastra, Kautilya's book on political and economic organization, written in the fourth century B.C., it is mentioned as one of the major philosophies of India."
What attempts have been made to undermine and discredit the philosophy that is being discussed?,"We have then to rely on the critics and persons interested in disparaging this philosophy, and they try to pour ridicule on it and show how absurd it all is. that is an unfortunate way for us to find out what it was. yet their very eagerness to discredit it shows how important it was in their eyes. Possibly much of the literature of materialism in India was destroyed by the priests and other believers in the orthodox religion during subsequent periods."
What contributed to the rise of systematic philosophy around two thousand years ago in the midst of social and political conflict and turmoil?,"Did not concern themselves with human values and were indifferent to what we consider good or bad. Moral rules were mere conventions made by men. We recognize all this; it seems curiously of our day and not of more than two thousand years ago. How did these thoughts arise, these doubts and conflicts, this rebellion of the mind of man against traditional authority? We do not know enough of social and political conditions then, but it seems clear that it was an age of political conflict and social turmoil, leading to a disintegration of faith and to keen intellectual inquiry and a search for some way out, satisfying to the mind. It was out of this mental turmoil and social maladjustment that new paths grew and new systems of philosophy took shape. Systematic philosophy, not the intuitional approach of the Upanishads, but based on close reasoning and argument, begins to appear in many garbs, Jain, Buddhist, and what might be called Hindu, for want of a better word. The epics also belong to this period and the Bhagavad Gita."
What event occurred around the same time as the rise of Buddhism and likely influenced people's thoughts in the region?,"It is difficult to build up an accurate chronology of this age, as thought and theory overlapped and acted and reacted on each other. Buddha came in the sixth century B.C. Some of these developments preceded him, others followed, or often there was a parallel growth. About the time of the rise of Buddhism, the Persian Empire reached the Indus. This approach of a great power right to the borders of India proper must have influenced people's thoughts."
What historical events in ancient civilizations show similarities despite their differences?,"Ancient India and Greece, so different in many ways, have so much in common that I am led to believe that their background of life was very similar. The Peloponnesian War, ending in the breakdown of Athenian democracy might in some ways be compared to the Mahabharata War, the great war of ancient India."
"What were some of the consequences of the failure of Hellenism and the free city-state, and how did it lead to a shift in philosophical emphasis?","The failure of Hellenism and of the free city-state led to a feeling of doubt and despair, to a pursuit of mysteries and revelations, a lowering of the earlier ideals of the race. The emphasis shifted from this world to the next. Later, new schools of philosophy— the Stoic and the Epicurean—developed. It is dangerous and misleading to make historical comparisons on slender, and sometimes contradictory, data. Yet one is tempted to do so. The period in India after the Mahabharata war, with its seemingly chaotic mental atmosphere, reminds one of the post-Hellenic period of Greece. There was a vulgarization of ideals and then a groping for new philosophies. Politically and economically similar internal changes might have been taking place, such as the weakening of the tribal republic and city-state and the tendency to centralize state power."
What were the key differences in the recovery and flourishing of civilization between Greece and India after facing significant shocks and challenges?,"But this comparison does not take us very far. Greece never really recovered from these shocks, although Greek civilization flourished for some additional centuries in the Mediterranean and influenced Rome and Europe. In India there was a remarkable recovery and the thousand years from the Epic period and the Buddha onwards were full of creative energy. Innumerable great names in philosophy, literature, drama, mathematics, and the arts stand out. In the early centuries of the Christian era a remarkable burst of energy resulted in the organization of colonial enterprises which took the Indian people and their culture to distant islands in the eastern seas."
What is the significance of Sanskrit in Indian culture and everyday life?,"Sanskrit, except for a few intellectuals, but in translations and adaptations, and in those innumerable ways in which tradition and legend spread and become a part of the texture of a people's life. They represent the typical Indian method of catering all together for various degrees of cultural development, from the highest intellectual to the simple unread and untaught villager."
What was the key strategy used by the old Indians to create unity and harmony in their diverse society?,"They make us understand somewhat the secret of the old Indians in holding together a variegated society, divided up in many ways and graded in castes, in harmonizing their discords, and giving them a common background of heroic tradition and ethical living. Deliberately they tried to build up a unity of outlook among the people, which was to survive and overshadow all diversity."
What kind of stories were part of your childhood memories and how were they passed down to you?,"Among the earliest memories of my childhood are the stories from these epics told to me by my mother or the older ladies of the house, just as a child in europe or america might listen to fairy tales or stories of adventure. There was for me both adventure and the fairy element in them. And then I used to be taken every year to the popular open-air performances where the ramayana story was enacted and vast crowds came to see it and join in the processions. It was all very crude, but that did not matter, for everyone knew the story by heart and it was carnival time."
What are some of the diverse influences and sources of inspiration that shaped your imagination and storytelling as you grew up?,"In this way Indian mythology and old tradition crept into my mind and got mixed up with all manner of other creatures of the imagination. I do not think I ever attached very much importance to these stories as factually true, and I even criticized the magical and supernatural element in them. But they were just as imaginatively true for me as were the stories from the Arabian Nights or the Panchatantra, that storehouse of animal tales from which Western Asia and Europe have drawn so much. As I grew up other pictures crowded into my mind: fairy stories, both Indian and European, tales from Greek mythology, the story of Joan of Arc, Alice in Wonderland, and many stories of Akbar and Birbal, Sherlock Holmes, King Arthur and his knights. The story of the innumerable translations and adaptations of the 'Panchatantra' into Asiatic and European languages is a long, intricate, and fascinating one. The first known translation was from Sanskrit into Pahlavi in the middle of the sixth century A.C. at the instance of Khusrau Anushirwan, Emperor of Persia. Soon after (c. 570 A.C.) an Assyrian translation appeared, and later on an Arabic one. In the eleventh century new translations appeared in Syriac, Arabic, and Persian, the last named becoming famous as the story of 'Kalia Daman.' It was through these translations that the 'Panchatantra' reached Europe."
What are some of the translations and adaptations of the work that appeared in different languages during the fifteenth and sixteenth centuries?,"There was a Greek translation from the Syrian at the end of the eleventh century, and a little later a Hebrew translation. In the fifteenth and sixteenth centuries a number of translations and adaptations appeared in Latin, Italian, Spanish, German, Swedish, Danish, Dutch, Icelandic, French, English, Hungarian, Turkish, and a number of Slavic languages."
What impact did Indian mythology and tradition have on the author's understanding and appreciation of cultural heritage?,"The rani of jhansi, the young heroine of the Indian mutiny, and tales of Rajput chivalry and heroism. These and many others filled my mind in strange confusion, but always there was the background of Indian mythology which I had imbibed in my earliest years. If it was so with me, in spite of the diverse influences that worked on my mind, I realized how much more must old mythology and tradition work on the minds of others and, especially, the unread masses of our people. That influence is a good influence both culturally and ethically, and I would hate to destroy or throw away all the beauty and imaginative symbolism that these stories and allegories contain."
What are some examples of Indian mythology beyond the epics and how do writers and poets incorporate it into their stories?,"Indian mythology is not confined to the epics; it goes back to the Vedic period and appears in many forms and garbs in Sanskrit literature. The poets and the dramatists take full advantage of it and build their stories and lovely fancies around it. The Ashoka tree is said to burst into flower when touched by the foot of a beautiful woman. We read of the adventures of Kama, the god of love, and his wife, Rati (or Rapture), with their friend Vasanta, the god of spring. Greatly daring, Kama shoots his flowery arrow at Shiva himself and is reduced to ashes by the fire that flashed out of Shiva's third eye. But he survives as Ananga, the bodiless one."
What are some common themes found in myths and stories?,"Most of the myths and stories are heroic in conception and teach adherence to truth and the pledged word, whatever the consequences, faithfulness unto death and even beyond, courage, good works and sacrifice for the common good. Sometimes the story is pure myth, or else it is a mixture of fact and myth, an exaggerated account of some incident that tradition preserved. Facts and fiction are so interwoven together as to be inseparable, and this amalgam becomes an imagined history, which may not tell us exactly what happened but does tell us something that is equally important—what people believed had taken place, what they thought their heroic ancestors were capable of, and what ideals inspired them. So, whether fact or fiction, it became a living element in their lives, ever pulling them up from the drudgery and ugliness of their everyday existence to higher realms, ever pointing towards the path of endeavor and right living, even though the ideal might be far off and difficult to reach."
What was the significance of history in ancient India and how was it viewed by the people of that time?,"Thus this imagined history, a mixture of fact and fiction, or sometimes only fiction, becomes symbolically true and tells us of the minds and hearts and purposes of the people of that particular epoch. It is true also in the sense that it becomes the basis for thought and action, for future history. The whole conception of history in ancient India was influenced by the speculative and ethical trends of philosophy and religion. Little importance was attached to the writing of a chronicle or the compilation of a bare record of events. What those people were more concerned with was the effect and influence of human events and actions on human conduct. Like the Greeks, they were strongly imaginative and artistic, and they gave rein to this artistry and imagination in dealing with past events, intent as they were on drawing some moral and lesson from them for future behavior."
"Why is it difficult to establish an accurate chronology of Indian history compared to other ancient civilizations like the Greeks, Chinese, and Arabs?","Unlike the Greeks, and unlike the Chinese and the Arabs, Indians in the past were not historians. This was very unfortunate and it has made it difficult for us now to fix dates or make up an accurate chronology. Events run into each other, overlap and produce an enormous confusion. Only very gradually are patient scholars today discovering the clues to the maze of Indian history. There is really only one old book, Kalhana's 'Rajatarangini', a history of Kashmir written in the twelfth century AD, which may be considered as history. For the rest we have to go to the imagined history of the epics and other books, to some contemporary records, to inscriptions, to artistic and architectural remains, to coins, and to the large body of Sanskrit literature, for occasional hints; also, of course, to the many records of foreign travelers who came to India, notably Greeks and Chinese, and, during a later period, Arabs."
What were the consequences of the masses' lack of historical sense in shaping their perception of the past?,"This lack of historical sense did not affect the masses, for as elsewhere and more so than elsewhere, they built up their view of the past from the traditional accounts and myth and story that were handed to them from generation to generation. This imagined history and mixture of fact and legend became widely known and gave to the people a strong and abiding cultural background. But the ignoring of history had evil consequences which we pursue still. It produced a vagueness of outlook, divorce from life as it is, a credulity, a wooliness of the mind where fact was concerned. That mind was not at all woolly in the far more difficult, but inevitably vaguer and more indefinite, realms of philosophy; it was both analytic and synthetic, often very critical, sometimes skeptical. But where fact was concerned, it was uncritical, because, perhaps, it did not attach much importance to fact as such."
What is the importance of challenging traditional beliefs and practices in historical analysis?,"Of evidence, a refusal to accept tradition merely because it is tradition. Many competent historians are at work now, but they often err on the other side and their work is more a meticulous chronicle of facts than living history. But even today it is strange how we suddenly become overwhelmed by tradition, and the critical faculties of even intelligent men cease to function."
What is the significance of the Vikram Samvat calendar in India and why is it celebrated?,"This may partly be due to the nationalism that consumes us in our present subject state. Only when we are politically and economically free will the mind function normally and critically. Very recently there has been a significant and revealing instance of this conflict between the critical outlook and nationalist tradition. In the greater part of India the Vikram Samvat calendar is observed; this is based on a solar reckoning, but the months are lunar. Last month, in April, 1944, according to this calendar, 2,000 years were completed and a new millennium began. This has been the occasion for celebrations throughout India, and the celebrations were justified, both because it was a big turning point in the reckoning of time and because Vikram, or Vikramsditya, with whose name the calendar is associated, has long been a great hero in popular tradition. Innumerable stories cling to his name, and many of these found their way in mediaeval times in different garbs to various parts of Asia, and later to Europe."
Who was Vikram and why is he considered a national hero in Indian history and folklore?,"Vikram has long been considered a national hero, a beau ideal of a prince. He is remembered as a ruler who pushed out foreign invaders. But his fame rests on the literary and cultural brilliance of his court, where he collected some of the most famous writers, artists, and musicians—the 'nine gems' of his court as they are called. Most of the stories deal with his desire to do good to his people, and to sacrifice himself or his personal interest at the slightest provocation in order to benefit someone else. He is famous for his generosity, service for others, courage, and lack of conceit. Essentially, he has been popular because he was considered a good man and a patron of the arts. The fact that he was a successful soldier or a conqueror hardly comes out in the stories. That emphasis on the goodness and self-sacrificing nature of the man is characteristic of the Indian mind and of Indian ideals. Vikramaditya's name, like that of Caesar, became a kind of symbol and title, and numerous subsequent rulers added it to their names. This has added to the confusion, as there are many Vikramadityas mentioned in history."
"What is the possible connection between Vikramaditya, who existed in the fourth century A.C., and an era that dates back to 57 B.C.?","Gems' in his court and around whom all these stories gather. The problem then is this: how is this Vikramaditya who existed in the fourth century a.c. to be connected with an era which begins in 57 B.C.? The probable explanation appears to be that an era dating from 57 B.C. existed in the Malava state in central India, and, long after Vikram, this era and calendar were connected with him and renamed after him. But all this is vague and uncertain."
"How have some intelligent Indians manipulated history to link the traditional hero Vikram to an era 2,000 years ago and what significant themes are emphasized in his story?","What has been most surprising is the way in which quite intelligent Indians have played about with history in order somehow to connect the traditional hero, Vikram, with the beginning of the era 2,000 years ago. It has also been interesting to find how emphasis is laid on his fight against the foreigner and his desire to establish the unity of India under one national state."
How has nationalist rhetoric influenced the writing and consideration of history globally?,"Vikram's realm was, in fact, confined to North and Central India. It is not Indians only who are affected by nationalist urges and supposed national interest in the writing or consideration of history. Every nation and people seem to be affected by this desire to gild and better the past and distort it to their advantage. The histories of India that most of us have had to read, chiefly written by Englishmen, are usually long apologies for and panegyrics of British rule, and a barely veiled contemptuous account of what happened here in the millenniums preceding it."
What challenges do Indians face in accurately understanding and interpreting their own history?,"Indeed, real history for them begins with the advent of the Englishman into India; all that went before is in some mystic kind of way a preparation for this divine consummation. Even the British period is distorted with the object of glorifying British rule and British virtues. Very slowly a more correct perspective is developing. But we need not go to the past to find instances of the manipulation of history to suit particular ends and support one's own fancies and prejudices. The present is full of this, and if the present, which we have ourselves seen and experienced, can be so distorted, what of the past? Nevertheless, it is true that Indians are peculiarly liable to accept tradition and report as history, uncritically and without sufficient examination. They will have to rid themselves of this loose thinking and easy way of arriving at conclusions."
What are the characteristics of the Ramayana and Mahabharata epics and when were they believed to have been composed?,"Jays, and the cooing of the kokila, and the hypocrisy of the crane, and the fidelity of the chakravaka; and compounding all these together, he made woman and gave her to man. It is difficult to date the epics. They deal with remote periods when the Aryans were still in the process of settling down and consolidating themselves in India. Evidently many authors have written them or added to them in successive periods. The Ramayana is an epic poem with a certain unity of treatment; the Mahabharata is a vast and miscellaneous collection of ancient lore. Both must have taken shape in the pre-Buddhist period, though additions were no doubt made later."
What did Michelet say about the Ramayana and the Eastern culture in 1864?,"Michelet, the French historian, writing in 1864, with special reference to the Ramayana, says: 'Whoever has done or willed too much let him drink from this deep cup along draught of life and youth . . . . everything is narrow in the West—Greece is small and sterile; Judea is dry and inapt. Let me look towards lofty Asia and the profound East for a little while. There lies my great poem, as vast as the Indian Ocean, blessed, gilded with the sun, the book of divine harmony wherein is no dissonance."
"What is the significance of the Mahabharata in Indian culture and literature, and how are scholars currently working on producing an authorized edition of the epic?","A serene peace reigns there, and in the midst of conflict an infinite sweetness, a boundless fraternity, which spreads over all living things, an ocean of love, of pity, of clemency. Great as the Ramayana is as an epic poem, and loved by the people, it is really the Mahabharata that is one of the outstanding books of the world. It is a colossal work, an encyclopaedia of tradition and legend, and political and social institutions of ancient India. For a decade or more a host of competent Indian scholars have been engaged in critically examining and collating the various available texts, with a view to publishing an authorized edition. Some parts have been issued by them but the work is still incomplete and is proceeding. It is interesting to note that even in these days of total and horrible war, Russian Oriental scholars have produced a Russian translation of the Mahabharata."
How did religion evolve into modern Hinduism and what principles contributed to its all-inclusive form?,"Religion was being modified accordingly. It was beginning to take that all-inclusive form which led to modern Hinduism. This was possible, as the basic approach seems to have been that there could be no monopoly in truth, and there were many ways of seeing it and approaching it. So all kinds of different and even contradictory beliefs were tolerated."
What is the significance of the unity of India as emphasized in the Mahabharata and the concept of Aryavarta in ancient times?,"In the Mahabharata, a very definite attempt has been made to emphasize the fundamental unity of India, or Bharatvarsha as it was called, from Bharat, the legendary founder of the race. An earlier name was Aryavarta, the land of the Aryas, but this was confined to Northern India up to the Vindhya mountains in Central India. The Aryans had probably not spread beyond that mountain range at that period. The Ramayana story is one of Aryan expansion to the south. The great civil war, which occurred later, described in the Mahabharata, is vaguely supposed to have taken place about the fourteenth century B.C."
What were the significant territorial considerations and cultural influences during the war for the overlordship of India?,"The war was for the overlordship of India (or possibly of northern India), and it marks the beginning of the conception of India as a whole, of Bharatvarsha. In this conception, a large part of modern Afghanistan, then called Gandhara (from which the name of the present city of Kandahar), which was considered an integral part of the country was included. Indeed, the queen of the principal ruler was named Gandhari, the lady from Gandhara. Dilli or Delhi, not the modern city but ancient cities situated near the modern site, named Hastinapur and Indraprastha, becomes the metropolis of India."
"What features of the Mahabharata strike foreign readers the most, according to Sister Nivedita, and how does it emphasize the idea of a single centralized India and the importance of Dharma in society?","Sister Nivedita (Margaret Noble), writing about the Mahabharata, has pointed out: 'The foreign reader is at once struck by two features: in the first place its unity in complexity; and, in the second, its constant efforts to impress on its hearers the idea of a single centralized India, with a heroic tradition of her own as formative and uniting impulse.' The Mahabharata contains the Krishna legends and the famous poem, the Bhagavad Gita. Even apart from the philosophy of the Gita, it lays stress on ethical and moral principles in statecraft and in life generally. Without this foundation of Dharma, there is no true happiness and society cannot hold together."
What are some key themes and principles surrounding the concept of non-violence in the epic?,"An amalgam of duties and responsibilities changes with the changing age. The emphasis on non-violence, here and elsewhere, is interesting, for no obvious contradiction appears to be noticed between this and fighting for a righteous cause. The whole epic centres around a great war. Evidently, the conception of ahimsa, non-violence, had a great deal to do with the motive, the absence of the violent mental approach, self-discipline and control of anger and hatred, rather than the physical abstention from violent action when this became necessary and inevitable."
What are some key teachings and themes found in the Mahabharata?,"The Mahabharata is a rich storehouse in which we can discover all manner of precious things. It is full of a varied, abundant and bubbling life, something far removed from that other aspect of Indian thought which emphasized asceticism and negation. It is not merely a book of moral precepts though there is plenty of ethics and morality in it. The teaching of the Mahabharata has been summed up in the phrase: 'thou shalt not do to others what is disagreeable to thyself.' There is an emphasis on social welfare and this is noteworthy, for the tendency of the Indian mind is supposed to be in favor of individual perfection rather than social welfare. It says: 'whatever is not conducive to social welfare, or what ye are likely to be ashamed of, never do.' Again: 'truth, self-control, asceticism, generosity, non-violence, constancy in virtue—these are the means of success, not caste or family.' 'Virtue is better than immortality and life.' 'True joy entails suffering.' There is a dig at the seeker after wealth: 'the silkworm dies of its wealth.' And, finally, the injunction so typical of a living and advancing people; 'discontent is the spur of progress.' There is in the Mahabharata the polytheism of the Vedas, the monism of the Upanishads, and deisms, and dualisms, and monotheism. The outlook is still creative and more or less rationalistic, and the feeling of exclusiveness is yet limited. Caste is not rigid. There was still a feeling of confidence, but as external forces invaded and challenged the security of the old order, that confidence lessened somewhat and a demand for greater uniformity arose in order to produce internal unity and strength. New taboos grew up. The eating of beef, previously countenanced, is later absolutely prohibited. In the Mahabharata there are references to beef or veal being offered to honored guests."
"What is the significance of the Gita in Indian philosophy and society, and how has it influenced modern-day thinkers and leaders?","'The only true philosophical song existing in any known tongue', So William von Humboldt described it. Its popularity and influence have not waned ever since it was composed and written in the pre-Buddhistic age, and today its appeal is as strong as ever in India. Every school of thought and philosophy looks up to it and interprets it in its own way. In times of crisis, when the mind of man is tortured by doubt and is torn by the conflict of duties, it has turned all the more to the Gita for light and guidance. For it is a poem of crisis, of political and social crisis and, even more so, of crisis in the spirit of man. Innumerable commentaries on the Gita have appeared in the past and they continue to come out with unfailing regularity. Even the leaders of thought and action of the present day—Tilak, Aurobindo Ghose, Gandhi—have written on it, each giving his own interpretation. Gandhiji bases his firm belief in non-violence on it, others justify violence and warfare for a righteous cause."
Why is Arjuna troubled at the beginning of the poem on the field of battle with Krishna before the war starts?,"The poem begins with a conversation between Arjuna and Krishna on the very field of battle before the great war begins. Arjuna is troubled, his conscience revolts at the thought of the war and the mass murder that it involves, the killing of friends and relatives—for what purpose? What conceivable gain can outweigh this loss, this sin? All his old standards fail him, his values collapse."
What is the central message of the Bhagavad Gita and how does it address the challenges of conflicting obligations and moralities in human life?,"Arjuna becomes the symbol of the tortured spirit of man, which, from age to age, has been torn by conflicting obligations and moralities. From this personal conversation we are taken step by step to higher and more impersonal regions of individual duty and social behaviour, of the application of ethics to human life, of the spiritual outlook that should govern all. There is much that is metaphysical in it, and an attempt to reconcile and harmonize the three ways for human advancement: the path of the intellect or knowledge, the path of action, and the path of faith. Probably more emphasis is laid on faith than on the others, and even a personal god emerges, though he is considered as a manifestation of the absolute. The Gita deals essentially with the spiritual background of human existence and it is in this context that the practical problems of everyday life appear. It is a call to action to meet the obligations and duties of life, but always keeping in view that spiritual background and the larger purpose of the universe. Inaction is condemned, and action and life have to be in accordance with the highest ideals of the age, for these ideals themselves may vary from age to age. The jugadharma, the ideal of the particular age, has always to be kept in view."
"What principles should guide our actions according to the Gita, and how should we approach the results of our actions?","Altruistic, patriotic, and humanitarian. Such action is desirable, according to the Gita, but behind it must lie the spiritual ideal. And action must be in a spirit of detachment, not much concerned with its results. The law of cause and effect holds good under all circumstances; right action must, therefore, necessarily yield right results, though these might not be immediately apparent."
"What is the universal and timeless appeal of the message of the Gita, and why has it been able to resonate with people from different backgrounds and beliefs?","The message of the Gita is not sectarian or addressed to any particular school of thought. It is universal in its approach for everyone, Brahmin or outcaste: ""all paths lead to me,' it says. It is because of this universality that it has found favor with all classes and schools. There is something in it which seems to be capable of being constantly renewed, which does not become out of date with the passing of time—an inner quality of earnest inquiry and search, of contemplation and action, of balance and equilibrium in spite of conflict and contradiction. There is a poise in it and a unity in the midst of disparity, and its temper is one of supremacy over the changing environment, not by seeking escape from it but fitting in with it. During the 2 years since it was written, Indian humanity has gone repeatedly through the processes of change and development and decay; experience has succeeded experience, thought has followed thought, but it has always found something living in the Gita, something that fitted into the developing thought and had a freshness and applicability to the spiritual problems that afflict the mind."
What ancient collection of tales provides valuable insights into life in pre-Buddhist India?,"An earlier account, which definitely takes us back to the pre-Buddhist period in India, is contained in the collection of the Jataka tales. These Jatakas were given their present shape sometime after the Buddha. They are supposed to deal with the previous incarnations of the Buddha and have become an important part of Buddhist literature. But the stories are evidently much older and they deal with the pre-Buddhistic period and give us much valuable information about life in India in those days. Professor Rhys Davids has described them as the oldest, most complete and most important collection of folklore extant."
What do the Jatakas represent in Indian literature and what period do they depict in Indian history?,"Many of the subsequent collection of animal and other stories which were written in India and found their way to Western Asia and Europe can be traced to the Jatakas. The Jatakas deal with the period when the final amalgamation of the two principal races of India, the Dravidians and the Aryans, was taking place. They reveal 'a multiform and chaotic society which resists more or less every attempt at classification and about which there can be no talk of an organization according to caste in that age.' The Jatakas may be said to represent the popular tradition as contrasted with the priestly or Brahminic tradition and the Kshatriya or ruling class tradition."
What were the traditional structures and roles within ancient kingdoms and their rulerships?,"There are chronologies and genealogies of various kingdoms and their rulers. Kingship, originally elective, becomes hereditary according to the rule of primogeniture. Women are excluded from this succession, but there are exceptions. As in China, the ruler is held responsible for all misfortunes; if anything goes wrong the fault must lie with the king. There was a council of ministers and there are also references to some kind of state assembly. Nevertheless, the king was an autocratic monarch though he had to function within established conventions. The high priest had an important position in court as an adviser and person in charge of religious ceremonies. There are references to popular revolts against unjust and tyrannical kings, who are sometimes put to death for their crimes."
What was the main source of revenue for village assemblies in ancient India and how was the land-tax typically paid?,"Village assemblies enjoyed a measure of autonomy. The chief source of revenue was the land. The land-tax was supposed to represent the king's share of the produce, and it was usually, but not always, paid in kind. Probably this tax was about one-sixth of the produce. It was predominantly an agricultural civilization and the basic unit was the self-governing village. The political and economic structure was built up from these village communities which were grouped in tens and hundreds. Horticulture, rearing of livestock, and dairy farming were practised on Richard Fick. (The Social Organisation in North-East India in Buddha's Time, Calcutta, 1920, p. 286). A more recent book, chiefly based on the Jataka stories, is Ratilal Mehta's Pre-Buddhist India (Bombay, 1939). I am indebted to this latter book for most of my facts."
What types of plants and fruits were highly prized and commonly found in gardens and parks in this ancient society?,"On an extensive scale, gardens and parks were common, and fruits and flowers were valued. The list of flowers mentioned is a long one; among the favourite fruits were the mango, fig, grape, plantain and the date. There were evidently many shops of vegetable and fruit sellers in the cities, as well as of florists."
What were some common occupations and sources of food in Indian society?,"The flower garland was then, as now, a favorite of the Indian people. Hunting was a regular occupation chiefly for the food it provided. Flesh-eating was common and included poultry and fish; Venison was highly esteemed. There were fisheries and slaughterhouses. The principal articles of diet were, however, rice, wheat, millet, and corn. Sugar was extracted from sugar-cane. Milk and its various products were then, as they are now, highly prized."
What were some of the common economic activities and trades in the ancient civilization being described?,"There were liquor shops, and liquor was apparently made from rice, fruits, and sugar-cane. There was mining for metals and precious stones. Among the metals mentioned are gold, silver, copper, iron, lead, tin, and brass. Among the precious stones were diamonds, rubies, corals, also pearls. Gold, silver, and copper coins are referred to. There were partnerships for trade, and loans were advanced on interest."
What are some examples of the diverse products produced in the manufacturing industries?,"Among the manufactured goods are silks, woollens and cotton textiles, rugs, blankets and carpets. Spinning, weaving and dyeing are flourishing and widespread industries. The metallurgical industry produces weapons of war. The building industry uses stone, wood, and bricks. Carpenters make a variety of furniture, including carts, chariots, ships, bedsteads, chairs, benches, chests, toys, etc. Cane-workers make mattresses, baskets, fans, and sunshades. Potters function in every village. From flowers and sandalwood, a number of perfumes, oils, and 'beauty' products are made, including sandalwood powder. Various medicines and drugs are manufactured and dead bodies are sometimes embalmed."
